Suburb,Offence,Alcohol,2014,2015,2016,2017,2018
Akolele,Domestic violence related assault ,Not Alcohol Related ,0,3,1,2,3
Akolele,Non-domestic violence related assault ,Alcohol Related ,0,0,3,1,1
Akolele,Non-domestic violence related assault ,Not Alcohol Related ,1,1,1,0,0
Akolele,Offensive conduct ,Alcohol Related ,0,0,0,0,1
Akolele,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Akolele,Offensive language ,Alcohol Related ,1,0,0,0,0
Akolele,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Albert,Domestic violence related assault ,Alcohol Related ,0,1,0,0,0
Albert,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Albert,Non-domestic violence related assault ,Alcohol Related ,0,1,1,0,2
Albert,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Albert,Offensive conduct ,Alcohol Related ,0,0,0,0,1
Albert,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Albert,Offensive language ,Alcohol Related ,0,0,0,0,0
Albert,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Albion Park,Domestic violence related assault ,Alcohol Related ,9,12,7,8,10
Albion Park,Domestic violence related assault ,Not Alcohol Related ,16,21,14,26,18
Albion Park,Non-domestic violence related assault ,Alcohol Related ,9,5,5,6,2
Albion Park,Non-domestic violence related assault ,Not Alcohol Related ,17,13,28,14,22
Albion Park,Offensive conduct ,Alcohol Related ,1,1,0,3,0
Albion Park,Offensive conduct ,Not Alcohol Related ,0,0,0,0,2
Albion Park,Offensive language ,Alcohol Related ,0,0,2,3,0
Albion Park,Offensive language ,Not Alcohol Related ,1,0,0,0,1
Albion Park Rail,Domestic violence related assault ,Alcohol Related ,10,8,5,8,10
Albion Park Rail,Domestic violence related assault ,Not Alcohol Related ,30,18,29,23,21
Albion Park Rail,Non-domestic violence related assault ,Alcohol Related ,12,10,4,6,5
Albion Park Rail,Non-domestic violence related assault ,Not Alcohol Related ,21,19,18,9,11
Albion Park Rail,Offensive conduct ,Alcohol Related ,0,0,3,4,0
Albion Park Rail,Offensive conduct ,Not Alcohol Related ,2,2,4,1,0
